Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2678753,"PCA9685PW,118",NXP,TSSOP-28,,100kHz~1MHz PWM 16 25mA 2.3V~5.5V TSSOP-28 LED Drivers ICs RoHS,yes,1,1,1,3.1136,3.11,https://www.lcsc.com/product-detail/C2678753.html
2,C99833,RVT1A102M0810,ROQANG,"SMD,D8xL10.2mm",,"1000uF 10V ±20% 270mA@120Hz SMD,D8xL10.2mm Aluminum Electrolytic Capacitors RoHS",yes,10,10,10,0.0520,0.52,https://www.lcsc.com/product-detail/C99833.html
3,C9807,CL31A106KAHNNNE,Samsung Electro-Mechanics,1206,,25V 10uF X5R ±10% 1206 Ceramic Capacitors RoHS,yes,10,10,10,0.0209,0.21,https://www.lcsc.com/product-detail/C9807.html
4,C17902,1206W4F1002T5E,UNI-ROYAL,1206,,10kΩ 250mW 200V ±100ppm/℃ Thick Film Resistor ±1% 1206 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0031,0.31,https://www.lcsc.com/product-detail/C17902.html
5,C2933785,FRC1206J221 TS,FOJAN,1206,,250mW 220Ω 200V ±100ppm/℃ Thick Film Resistor ±5% 1206 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2933785.html
6,C114586,WS2812B-B/W,Worldsemi,SMD5050-4P,,"SMD5050-4P LED Addressable, Specialty RoHS",yes,5,5,5,0.0837,0.42,https://www.lcsc.com/product-detail/C114586.html
7,C24497,CL31B104KBCNNNC,Samsung Electro-Mechanics,1206,,50V 100nF X7R ±10% 1206 Ceramic Capacitors RoHS,yes,20,20,20,0.0138,0.28,https://www.lcsc.com/product-detail/C24497.html
8,C2840012,PZ254V-11-12P,XFCN,"Through Hole,P=2.54mm",,"12P 1x12P -40℃~+105℃ Black Pin Header 2.54mm 2.5mm 6mm 250V 3mm 1 3A Through Hole Through Hole,P=2.54mm Headers, Male Pins RoHS",yes,10,10,10,0.0687,0.69,https://www.lcsc.com/product-detail/C2840012.html
9,C2905419,KH-2.54FH-1X12P-H8.5,kinghelm,"Through Hole,P=2.54mm",,"2.54mm 1 12P -40℃~+105℃ 1x12P 8.5mm Top 3A Square Hole Through Hole Through Hole,P=2.54mm Headers, Receptacles, Female Sockets RoHS",yes,15,5,5,0.1169,1.75,https://www.lcsc.com/product-detail/C2905419.html
10,C5962,"74HCT125D,653",Nexperia,SOIC-14,,"1 160uA 4.5V~5.5V 4 15ns@4.5V,50pF SOIC-14 Buffers, Drivers, Receivers, Transceivers RoHS",yes,5,5,5,0.2284,1.14,https://www.lcsc.com/product-detail/C5962.html
